run,total
1,1001
2,1000
3,1002
4,1001
5,1003
6,1004
7,1003
8,1001
9,998
10,994
11,999
12,1003
13,1000
14,1004
15,1007
16,1005
17,1002
18,1006
19,1003
20,999
21,994
22,988
23,995
24,989
25,982
26,990
27,997
28,991
29,998
30,992
31,999
32,1005
33,1010
34,1006
35,1001
36,995
37,1002
38,1008
39,1003
40,997
41,990
42,998
43,991
44,999
45,1006
46,1012
47,1017
48,1021
49,1018
50,1022
51,1019
52,1015
53,1010
54,1016
55,1021
56,1025
57,1022
58,1018
59,1023
60,1027
61,1030
62,1028
63,1025
64,1029
65,1026
66,1022
67,1017
68,1011
69,1004
70,996
71,1005
72,997
73,988
74,978
75,989
76,999
77,990
78,1000
79,991
80,981
81,970
82,958
83,945
84,959
85,946
86,960
87,947
88,961
89,948
90,962
91,975
92,987
93,976
94,964
95,951
96,965
97,952
98,966
99,953
100,939
