run,total
1,999
2,1001
3,1000
4,998
5,1001
6,999
7,996
8,992
9,997
10,993
11,988
12,982
13,989
14,983
15,990
16,984
17,977
18,969
19,978
20,970
21,979
22,987
23,994
24,1000
25,1005
26,1001
27,996
28,990
29,997
30,991
31,984
32,976
33,967
34,977
35,968
36,978
37,987
38,995
39,1002
40,1008
41,1003
42,1009
43,1014
44,1018
45,1015
46,1011
47,1016
48,1020
49,1017
50,1013
51,1018
52,1014
53,1019
54,1015
55,1020
56,1024
57,1021
58,1017
59,1012
60,1006
61,999
62,1007
63,1000
64,1008
65,1001
66,993
67,984
68,974
69,985
70,975
71,986
72,996
73,1005
74,997
75,1006
76,998
77,989
78,999
79,1008
80,1000
81,1009
82,1017
83,1010
84,1002
85,993
86,983
87,972
88,960
89,947
90,961
91,974
92,962
93,975
94,963
95,976
96,964
97,977
98,989
99,978
100,966
