run,total
1,1001
2,1002
3,1003
4,1004
5,1003
6,1005
7,1006
8,1005
9,1007
10,1008
11,1007
12,1009
13,1008
14,1006
15,1003
16,1007
17,1010
18,1012
19,1013
20,1012
21,1014
22,1015
23,1014
24,1016
25,1017
26,1018
27,1017
28,1015
29,1012
30,1008
31,1013
32,1009
33,1014
34,1010
35,1005
36,999
37,1006
38,1000
39,993
40,1001
41,1008
42,1002
43,1009
44,1015
45,1020
46,1016
47,1011
48,1017
49,1022
50,1018
51,1023
52,1027
53,1024
54,1028
55,1031
56,1029
57,1026
58,1030
59,1033
60,1031
61,1028
62,1032
63,1035
64,1033
65,1030
66,1026
67,1031
68,1027
69,1032
70,1028
71,1023
72,1029
73,1024
74,1018
75,1025
76,1019
77,1012
78,1020
79,1027
80,1033
81,1038
82,1042
83,1045
84,1043
85,1040
86,1036
87,1031
88,1025
89,1018
90,1026
91,1033
92,1039
93,1044
94,1048
95,1051
96,1053
97,1052
98,1050
99,1047
100,1051
