run,total
1,1040
2,940
3,840
4,740
5,780
6,830
7,870
8,910
9,810
10,710
11,750
12,790
13,870
14,910
15,810
16,850
17,750
18,650
19,690
20,730
21,780
22,680
23,730
24,630
25,680
26,720
27,620
28,660
29,700
30,600
31,500
32,400
33,440
34,340
35,240
36,140
37,190
38,230
39,270
40,310
41,350
42,390
43,430
44,470
45,370
46,270
47,170
48,210
49,260
50,300
51,200
52,100
53,0
54,40
55,80
56,-20
57,20
58,60
59,-40
60,0
61,50
62,-50
63,0
64,-100
65,-20
66,-120
67,-80
68,-180
69,-280
70,-380
71,-340
72,-290
73,-250
74,-210
75,-170
76,-270
77,-230
78,-180
79,-140
80,-100
81,-60
82,-160
83,-260
84,-360
85,-320
86,-280
87,-380
88,-340
89,-290
90,-250
91,-350
92,-300
93,-400
94,-360
95,-460
96,-420
97,-370
98,-470
99,-430
100,-390
