run,total
1,900
2,940
3,840
4,890
5,940
6,980
7,1030
8,930
9,830
10,730
11,630
12,670
13,570
14,470
15,370
16,270
17,170
18,210
19,260
20,300
21,200
22,250
23,150
24,190
25,90
26,130
27,170
28,210
29,250
30,290
31,340
32,240
33,290
34,340
35,240
36,280
37,320
38,370
39,410
40,450
41,350
42,250
43,290
44,190
45,90
46,-10
47,30
48,-70
49,-170
50,-270
51,-230
52,-180
53,-140
54,-240
55,-340
56,-300
57,-250
58,-350
59,-300
60,-400
61,-500
62,-460
63,-560
64,-660
65,-620
66,-580
67,-500
68,-460
69,-410
70,-360
71,-310
72,-410
73,-360
74,-320
75,-280
76,-240
77,-190
78,-150
79,-110
80,-60
81,-20
82,60
83,-40
84,-140
85,-100
86,-200
87,-160
88,-120
89,-70
90,-170
91,-130
92,-80
93,-40
94,0
95,-100
96,-200
97,-150
98,-250
99,-210
100,-310
