run,total
1,1001
2,999
3,1000
4,1002
5,998
6,997
7,998
8,996
9,997
10,995
11,996
12,998
13,994
14,995
15,997
16,993
17,992
18,993
19,995
20,991
21,992
22,990
23,991
24,989
25,988
26,987
27,988
28,990
29,986
30,985
31,984
32,985
33,983
34,982
35,981
36,982
37,980
38,981
39,983
40,979
41,978
42,979
43,977
44,978
45,976
46,975
47,974
48,973
49,974
50,976
51,980
52,972
53,971
54,972
55,970
56,971
57,973
58,977
59,985
60,1001
61,1033
62,969
63,968
64,967
65,966
66,965
67,966
68,964
69,963
70,964
71,962
72,961
73,960
74,961
75,963
76,959
77,960
78,962
79,966
80,958
81,957
82,958
83,956
84,955
85,956
86,958
87,954
88,955
89,957
90,953
91,954
92,952
93,951
94,950
95,951
96,949
97,948
98,947
99,948
100,946
