run,total
1,999
2,1000
3,1002
4,998
5,999
6,1001
7,1005
8,997
9,998
10,996
11,995
12,994
13,995
14,993
15,994
16,992
17,993
18,991
19,990
20,989
21,988
22,987
23,986
24,985
25,986
26,984
27,983
28,982
29,983
30,985
31,989
32,997
33,1013
34,1045
35,1109
36,1237
37,981
38,982
39,980
40,979
41,978
42,977
43,976
44,975
45,974
46,975
47,973
48,972
49,971
50,972
51,974
52,978
53,970
54,969
55,968
56,967
57,968
58,970
59,966
60,967
61,965
62,966
63,968
64,964
65,965
66,963
67,964
68,966
69,970
70,962
71,961
72,960
73,959
74,958
75,957
76,958
77,960
78,964
79,972
80,956
81,955
82,956
83,954
84,955
85,953
86,954
87,956
88,952
89,953
90,955
91,959
92,967
93,951
94,952
95,950
96,949
97,950
98,948
99,947
100,946
